City,Temperature,BL_Height,Surface_Pressure,Precipitation,Humidity,U_WindSpeed,V_WindSpeed,PM2_5,Longitude,Latitude,time
B,269.9127136,50.38197842,102652.7865,0,25.6005654,2.431981489,-11.00201416,167,117.3221667,39.07768333,2017/1/2 0:00
C,267.4095144,22.58977163,101386.715,0,35.11804448,0.588985638,-1.134399247,333,114.4931714,38.03362857,2017/1/2 0:00
D,268.1949816,56.53766302,102277.2713,0,35.06727164,2.593035079,-7.625426535,193,118.1829167,39.64495333,2017/1/2 0:00
E,269.6080836,55.32030194,101130.613,0,30.98138354,-0.446743628,-6.197917981,351,119.606875,39.93625,2017/1/2 0:00
F,269.3346324,36.67462742,101562.867,1.42E-05,38.35980049,-1.706577628,-5.356669317,250,114.513875,36.60786,2017/1/2 0:00
G,267.9105229,12.87581459,102154.2187,0,41.94509238,-0.411812105,3.673547127,245,115.4852,38.87626667,2017/1/2 0:00
H,261.2943525,52.87109223,90170.69425,0,76.61554975,0.488904445,-1.799828391,39,114.90085,40.80275,2017/1/2 0:00
I,263.8447293,90.98573671,95454.33783,0,58.07521173,2.563255452,-2.906696532,132,117.92774,40.96416,2017/1/2 0:00
J,270.0332687,60.69750628,102346.7026,0,28.63648499,4.972054546,-9.004575717,245,116.7151,39.52605,2017/1/2 0:00
K,268.2087963,32.59835978,102643.6439,0,25.99309271,-3.505378954,-8.553014151,213,116.8715667,38.31576667,2017/1/2 0:00
L,270.1351894,50.78998991,102492.033,7.46E-06,37.42470405,-6.414782844,-0.090623252,102,115.6761,37.7448,2017/1/2 0:00
M,269.1698827,31.77013055,101295.4546,9.68E-06,36.61465569,-1.867570265,-4.646813589,239,114.506675,37.0771,2017/1/2 0:00
A,275.3254782,210.7626266,101634.6506,0,31.70199346,3.756811823,-1.234079001,350,116.39825,40.045975,2017/1/2 3:00
B,275.0331417,173.3118674,102791.6137,0,27.53166696,1.848789256,-7.701244915,202,117.3221667,39.07768333,2017/1/2 3:00
C,273.2678015,164.5405987,101527.803,0,33.34397682,1.552088424,0.633545445,295,114.4931714,38.03362857,2017/1/2 3:00
D,275.5774469,360.0999461,102389.9404,0,30.53217372,3.500890814,-7.142394336,261,118.1829167,39.64495333,2017/1/2 3:00
E,275.765211,289.5738066,101271.2033,0,34.96908958,-2.294570264,-2.018122974,228,119.606875,39.93625,2017/1/2 3:00
F,271.5642462,192.904419,101735.5701,0,36.39216964,-1.647074546,-3.373512394,200,114.513875,36.60786,2017/1/2 3:00
G,274.4616434,179.9497583,102305.5988,0,39.32285283,1.976527623,5.688868943,242,115.4852,38.87626667,2017/1/2 3:00
H,270.1917087,373.7626645,90204.15972,0,37.91186531,1.383679436,-0.374119006,23,114.90085,40.80275,2017/1/2 3:00
I,271.7022369,596.6440656,95525.81963,0,41.27069859,2.646569275,-2.654278384,103,117.92774,40.96416,2017/1/2 3:00
J,275.1843715,228.7589336,102492.2093,0,30.27775408,3.105358581,-5.003245226,259,116.7151,39.52605,2017/1/2 3:00
K,273.4298233,117.5839256,102768.1897,0,27.86633506,-2.276090557,-5.722361499,108,116.8715667,38.31576667,2017/1/2 3:00
L,271.772857,137.9329152,102650.1006,3.97E-08,24.11661244,-5.002083904,2.416357451,113,115.6761,37.7448,2017/1/2 3:00
M,271.6664948,169.9162108,101466.8489,3.89E-06,42.01239121,-1.596512147,-2.184781961,213,114.506675,37.0771,2017/1/2 3:00
A,278.6424589,630.8055742,101338.6387,0,42.60015264,2.256726549,1.929237463,93,116.39825,40.045975,2017/1/2 6:00
B,277.8097585,489.6633883,102559.5713,0,32.12747744,1.94341207,-4.058716672,221,117.3221667,39.07768333,2017/1/2 6:00
C,277.9803397,338.8250782,101211.7771,0,45.17736248,0.933973228,3.048608588,241,114.4931714,38.03362857,2017/1/2 6:00
D,278.2828478,617.2802615,102153.9965,0,32.38050503,4.383956839,-4.381486975,253,118.1829167,39.64495333,2017/1/2 6:00
E,276.7797266,582.2102314,101099.3661,0,40.59226055,1.42726344,0.468355042,174,119.606875,39.93625,2017/1/2 6:00
F,276.9963782,302.0534222,101449.1839,0,31.23015079,-0.418056426,-0.495269964,214,114.513875,36.60786,2017/1/2 6:00
G,278.3637403,445.0859426,102007.9394,0,37.0651725,3.799388798,6.328022316,210,115.4852,38.87626667,2017/1/2 6:00
H,274.6798563,916.8757986,89931.13114,0,30.55021304,2.720141708,0.760399508,19,114.90085,40.80275,2017/1/2 6:00
I,274.8425627,718.7187551,95313.43327,0,31.58452923,2.35307386,-1.434089131,94,117.92774,40.96416,2017/1/2 6:00
J,278.0099488,512.6889276,102225.4924,0,36.14862278,3.615648027,0.328834817,253,116.7151,39.52605,2017/1/2 6:00
K,277.9341804,405.6581168,102526.3475,0,28.68961359,-0.992317163,-1.641196623,106,116.8715667,38.31576667,2017/1/2 6:00
L,277.0454872,305.3380627,102373.0195,0,21.17606076,-2.310153238,4.831656516,180,115.6761,37.7448,2017/1/2 6:00
M,276.4402066,278.956804,101171.694,0,38.79146339,-0.423823106,1.410653541,159,114.506675,37.0771,2017/1/2 6:00
A,274.1194414,71.41924795,101315.9287,0,49.67381045,3.157091921,4.923315139,56,116.39825,40.045975,2017/1/2 9:00
B,274.2237645,53.95021037,102545.3366,0,32.24764192,4.743700521,1.072698772,224,117.3221667,39.07768333,2017/1/2 9:00
C,275.5353012,94.75039811,101197.3593,0,39.8821467,1.520311567,4.381332648,215,114.4931714,38.03362857,2017/1/2 9:00
D,273.5444489,60.18589726,102146.501,0,30.000617,5.51056331,-2.553541012,260,118.1829167,39.64495333,2017/1/2 9:00
E,275.5101745,120.9379006,101114.4349,0,41.33962611,3.693805542,0.465057556,84,119.606875,39.93625,2017/1/2 9:00
F,276.5939596,72.45326263,101454.2569,0,27.22042923,0.928771728,2.423683069,231,114.513875,36.60786,2017/1/2 9:00
G,275.1026623,85.22552665,101988.5328,0,32.73324896,4.904354769,7.272472602,184,115.4852,38.87626667,2017/1/2 9:00
H,274.1207669,106.2689346,89899.37216,0,34.51601371,0.686932781,1.022677088,18,114.90085,40.80275,2017/1/2 9:00
I,274.113069,42.33764069,95271.97869,0,33.22434605,1.30217533,0.307145323,111,117.92774,40.96416,2017/1/2 9:00
J,274.3289974,65.69084253,102201.4044,0,37.85518213,6.183254613,4.560294506,252,116.7151,39.52605,2017/1/2 9:00
K,275.6406375,29.57854136,102503.0937,0,27.03257544,1.405350655,3.309935021,129,116.8715667,38.31576667,2017/1/2 9:00
L,274.2055816,81.04023361,102336.4423,0,24.46805656,0.867691521,5.457407676,183,115.6761,37.7448,2017/1/2 9:00
M,274.1641953,75.12798186,101168.0977,0,29.97537969,1.081415524,4.157300775,160,114.506675,37.0771,2017/1/2 9:00
A,272.1554798,37.85775254,101303.0093,0,47.1361383,5.186103394,5.660915288,173,116.39825,40.045975,2017/1/2 12:00
B,270.8636618,47.70590331,102539.3658,0,26.62629872,6.26891294,4.780415535,321,117.3221667,39.07768333,2017/1/2 12:00
C,271.512401,49.60657388,101228.7084,0,33.87159663,2.984667719,5.797282765,338,114.4931714,38.03362857,2017/1/2 12:00
